frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
585.7945,-7.7471,49.6746,-7.7471,49.6746
597.5104,-4.9072,50.7322,-4.9072,50.7322
609.2263,-3.5359,47.2996,-3.5359,47.2996
620.9422,-2.7013,44.4553,-2.7013,44.4553
632.6580,-2.3189,41.3890,-2.3189,41.3890
644.3739,-2.2621,42.0508,-2.2621,42.0508
656.0898,-1.4311,45.2919,-1.4311,45.2919
667.8057,-0.4067,42.1834,-0.4067,42.1834
679.5216,0.1307,37.9369,0.1307,37.9369
691.2375,0.3961,33.2161,0.3961,33.2161
702.9534,0.1254,29.1028,0.1254,29.1028
714.6693,-0.0507,28.9935,-0.0507,28.9935
726.3852,0.0167,28.4452,0.0167,28.4452
738.1010,0.0821,27.4402,0.0821,27.4402
749.8169,0.1112,26.2883,0.1112,26.2883
761.5328,0.0826,25.0868,0.0826,25.0868
773.2487,-0.0373,24.1711,-0.0373,24.1711
784.9646,-0.1830,24.1924,-0.1830,24.1924
796.6805,-0.2223,24.7065,-0.2223,24.7065
808.3964,-0.1983,25.0122,-0.1983,25.0122
820.1123,-0.1658,25.1380,-0.1658,25.1380
831.8282,-0.1366,25.2302,-0.1366,25.2302
843.5441,-0.1110,25.3260,-0.1110,25.3260
855.2599,-0.0859,25.4707,-0.0859,25.4707
866.9758,-0.0607,25.6782,-0.0607,25.6782
878.6917,-0.0297,25.9997,-0.0297,25.9997
890.4076,0.0196,26.4824,0.0196,26.4824
902.1235,0.1266,27.0729,0.1266,27.0729
913.8394,0.3046,27.2847,0.3046,27.2847
925.5553,0.4665,26.8532,0.4665,26.8532
937.2712,0.5569,26.2228,0.5569,26.2228
948.9871,0.6028,25.7020,0.6028,25.7020
960.7030,0.6318,25.3228,0.6318,25.3228
972.4188,0.6558,25.0417,0.6558,25.0417
984.1347,0.6797,24.8219,0.6797,24.8219
995.8506,0.7046,24.6466,0.7046,24.6466
1007.5665,0.7294,24.4864,0.7294,24.4864
1019.2824,0.7559,24.3297,0.7559,24.3297
1030.9983,0.7818,24.1763,0.7818,24.1763
1042.7142,0.8070,24.0103,0.8070,24.0103
1054.4301,0.8290,23.8335,0.8290,23.8335
1066.1460,0.8471,23.6336,0.8471,23.6336
1077.8619,0.8588,23.4233,0.8588,23.4233
1089.5777,0.8609,23.2102,0.8609,23.2102
1101.2936,0.8524,23.0148,0.8524,23.0148
1113.0095,0.8305,22.8709,0.8305,22.8709
1124.7254,0.7984,22.8195,0.7984,22.8195
1136.4413,0.7624,22.9044,0.7624,22.9044
1148.1572,0.7326,23.1230,0.7326,23.1230
1159.8731,0.7164,23.4359,0.7164,23.4359
1171.5890,0.7181,23.8048,0.7181,23.8048
1183.3049,0.7370,24.1603,0.7370,24.1603
1195.0207,0.7679,24.4754,0.7679,24.4754
1206.7366,0.8055,24.7371,0.8055,24.7371
1218.4525,0.8467,24.9492,0.8467,24.9492
1230.1684,0.8886,25.1169,0.8886,25.1169
1241.8843,0.9303,25.2591,0.9303,25.2591
1253.6002,0.9711,25.3722,0.9711,25.3722
1265.3161,1.0101,25.4676,1.0101,25.4676
1277.0320,1.0470,25.5506,1.0470,25.5506
1288.7479,1.0828,25.6259,1.0828,25.6259
1300.4638,1.1167,25.6994,1.1167,25.6994
1312.1796,1.1503,25.7615,1.1503,25.7615
1323.8955,1.1818,25.8294,1.1818,25.8294
1335.6114,1.2121,25.8967,1.2121,25.8967
1347.3273,1.2409,25.9647,1.2409,25.9647
1359.0432,1.2687,26.0419,1.2687,26.0419
1370.7591,1.2964,26.1215,1.2964,26.1215
1382.4750,1.3230,26.2070,1.3230,26.2070
1394.1909,1.3490,26.3058,1.3490,26.3058
1405.9068,1.3738,26.4145,1.3738,26.4145
1417.6227,1.3990,26.5361,1.3990,26.5361
1429.3385,1.4242,26.6730,1.4242,26.6730
1441.0544,1.4502,26.8226,1.4502,26.8226
1452.7703,1.4767,26.9965,1.4767,26.9965
1464.4862,1.5054,27.1933,1.5054,27.1933
1476.2021,1.5364,27.4110,1.5364,27.4110
1487.9180,1.5720,27.6534,1.5720,27.6534
1499.6339,1.6133,27.9162,1.6133,27.9162
1511.3498,1.6621,28.1929,1.6621,28.1929
1523.0657,1.7184,28.4657,1.7184,28.4657
1534.7815,1.7852,28.7220,1.7852,28.7220
1546.4974,1.8602,28.9411,1.8602,28.9411
1558.2133,1.9415,29.1006,1.9415,29.1006
1569.9292,2.0264,29.1976,2.0264,29.1976
1581.6451,2.1116,29.2362,2.1116,29.2362
1593.3610,2.1943,29.2253,2.1943,29.2253
1605.0769,2.2759,29.1793,2.2759,29.1793
1616.7928,2.3560,29.1203,2.3560,29.1203
1628.5087,2.4379,29.0440,2.4379,29.0440
1640.2246,2.5257,28.9470,2.5257,28.9470
1651.9404,2.6247,28.7956,2.6247,28.7956
1663.6563,2.7359,28.5130,2.7359,28.5130
1675.3722,2.8511,27.9784,2.8511,27.9784
1687.0881,2.9413,27.1210,2.9413,27.1210
1698.8040,2.9652,26.0757,2.9652,26.0757
1710.5199,2.9167,25.2092,2.9167,25.2092
1722.2358,2.8378,24.7364,2.8378,24.7364
1733.9517,2.7672,24.5971,2.7672,24.5971
1745.6676,2.7199,24.6317,2.7199,24.6317
1757.3835,2.6919,24.7384,2.6919,24.7384
1769.0993,2.6801,24.8644,2.6801,24.8644
1780.8152,2.6790,24.9931,2.6790,24.9931
1792.5311,2.6846,25.1038,2.6846,25.1038
1804.2470,2.6954,25.2078,2.6954,25.2078
1815.9629,2.7099,25.3004,2.7099,25.3004
1827.6788,2.7266,25.3825,2.7266,25.3825
1839.3947,2.7459,25.4569,2.7459,25.4569
1851.1106,2.7660,25.5277,2.7660,25.5277
1862.8265,2.7875,25.5892,2.7875,25.5892
1874.5423,2.8101,25.6509,2.8101,25.6509
1886.2582,2.8335,25.7048,2.8335,25.7048
1897.9741,2.8573,25.7630,2.8573,25.7630
1909.6900,2.8822,25.8138,2.8822,25.8138
1921.4059,2.9075,25.8663,2.9075,25.8663
1933.1218,2.9332,25.9202,2.9332,25.9202
1944.8377,2.9600,25.9700,2.9600,25.9700
1956.5536,2.9871,26.0238,2.9871,26.0238
1968.2695,3.0146,26.0779,3.0146,26.0779
1979.9854,3.0434,26.1314,3.0434,26.1314
1991.7012,3.0723,26.1858,3.0723,26.1858
2003.4171,3.1023,26.2382,3.1023,26.2382
2015.1330,3.1329,26.2911,3.1329,26.2911
2026.8489,3.1648,26.3518,3.1648,26.3518
2038.5648,3.1977,26.4079,3.1977,26.4079
2050.2807,3.2316,26.4667,3.2316,26.4667
2061.9966,3.2666,26.5252,3.2666,26.5252
2073.7125,3.3033,26.5819,3.3033,26.5819
2085.4284,3.3412,26.6398,3.3412,26.6398
2097.1443,3.3812,26.6957,3.3812,26.6957
2108.8601,3.4226,26.7517,3.4226,26.7517
2120.5760,3.4664,26.8006,3.4664,26.8006
2132.2919,3.5125,26.8453,3.5125,26.8453
2144.0078,3.5614,26.8766,3.5614,26.8766
2155.7237,3.6125,26.9021,3.6125,26.9021
2167.4396,3.6665,26.9075,3.6665,26.9075
2179.1555,3.7229,26.8924,3.7229,26.8924
2190.8714,3.7817,26.8508,3.7817,26.8508
2202.5873,3.8426,26.7752,3.8426,26.7752
2214.3031,3.9043,26.6557,3.9043,26.6557
2226.0190,3.9652,26.4966,3.9652,26.4966
2237.7349,4.0233,26.2855,4.0233,26.2855
2249.4508,4.0771,26.0333,4.0771,26.0333
2261.1667,4.1234,25.7398,4.1234,25.7398
2272.8826,4.1615,25.4279,4.1615,25.4279
2284.5985,4.1897,25.1082,4.1897,25.1082
2296.3144,4.2090,24.8081,4.2090,24.8081
2308.0303,4.2205,24.5381,4.2205,24.5381
2319.7462,4.2268,24.3126,4.2268,24.3126
2331.4620,4.2301,24.1333,4.2301,24.1333
2343.1779,4.2333,24.0018,4.2333,24.0018
2354.8938,4.2372,23.9084,4.2372,23.9084
2366.6097,4.2436,23.8488,4.2436,23.8488
2378.3256,4.2527,23.8125,4.2527,23.8125
2390.0415,4.2655,23.7946,4.2655,23.7946
2401.7574,4.2816,23.7875,4.2816,23.7875
2413.4733,4.3006,23.7849,4.3006,23.7849
2425.1892,4.3224,23.7837,4.3224,23.7837
2436.9051,4.3472,23.7841,4.3472,23.7841
2448.6209,4.3743,23.7750,4.3743,23.7750
2460.3368,4.4032,23.7645,4.4032,23.7645
2472.0527,4.4343,23.7448,4.4343,23.7448
2483.7686,4.4667,23.7147,4.4667,23.7147
2495.4845,4.5006,23.6786,4.5006,23.6786
2507.2004,4.5358,23.6295,4.5358,23.6295
2518.9163,4.5718,23.5709,4.5718,23.5709
2530.6322,4.6082,23.4968,4.6082,23.4968
2542.3481,4.6451,23.4123,4.6451,23.4123
2554.0639,4.6821,23.3138,4.6821,23.3138
2565.7798,4.7191,23.1987,4.7191,23.1987
2577.4957,4.7551,23.0721,4.7551,23.0721
2589.2116,4.7905,22.9253,4.7905,22.9253
