frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
6033.6832,4.4815,-3.9754,4.4815,-3.9754
6045.3991,4.4977,-4.2806,4.4977,-4.2806
6057.1150,4.5116,-4.5844,4.5116,-4.5844
6068.8309,4.5234,-4.8813,4.5234,-4.8813
6080.5467,4.5328,-5.1727,4.5328,-5.1727
6092.2626,4.5403,-5.4624,4.5403,-5.4624
6103.9785,4.5456,-5.7436,4.5456,-5.7436
6115.6944,4.5496,-6.0213,4.5496,-6.0213
6127.4103,4.5518,-6.2916,4.5518,-6.2916
6139.1262,4.5525,-6.5583,4.5525,-6.5583
6150.8421,4.5517,-6.8176,4.5517,-6.8176
6162.5580,4.5496,-7.0721,4.5496,-7.0721
6174.2739,4.5458,-7.3223,4.5458,-7.3223
6185.9897,4.5411,-7.5637,4.5411,-7.5637
6197.7056,4.5353,-7.8021,4.5353,-7.8021
6209.4215,4.5285,-8.0344,4.5285,-8.0344
6221.1374,4.5204,-8.2617,4.5204,-8.2617
6232.8533,4.5116,-8.4837,4.5116,-8.4837
6244.5692,4.5017,-8.6991,4.5017,-8.6991
6256.2851,4.4912,-8.9098,4.4912,-8.9098
6268.0010,4.4795,-9.1166,4.4795,-9.1166
6279.7169,4.4673,-9.3171,4.4673,-9.3171
6291.4328,4.4544,-9.5123,4.4544,-9.5123
6303.1486,4.4408,-9.7027,4.4408,-9.7027
6314.8645,4.4266,-9.8891,4.4266,-9.8891
6326.5804,4.4117,-10.0702,4.4117,-10.0702
6338.2963,4.3962,-10.2453,4.3962,-10.2453
6350.0122,4.3801,-10.4165,4.3801,-10.4165
6361.7281,4.3638,-10.5829,4.3638,-10.5829
6373.4440,4.3468,-10.7462,4.3468,-10.7462
6385.1599,4.3295,-10.9049,4.3295,-10.9049
6396.8758,4.3115,-11.0575,4.3115,-11.0575
6408.5917,4.2933,-11.2068,4.2933,-11.2068
6420.3075,4.2748,-11.3503,4.2748,-11.3503
6432.0234,4.2556,-11.4918,4.2556,-11.4918
6443.7393,4.2364,-11.6288,4.2364,-11.6288
6455.4552,4.2166,-11.7620,4.2166,-11.7620
6467.1711,4.1969,-11.8910,4.1969,-11.8910
6478.8870,4.1765,-12.0149,4.1765,-12.0149
6490.6029,4.1560,-12.1358,4.1560,-12.1358
6502.3188,4.1352,-12.2528,4.1352,-12.2528
6514.0347,4.1141,-12.3658,4.1141,-12.3658
6525.7505,4.0930,-12.4776,4.0930,-12.4776
6537.4664,4.0715,-12.5821,4.0715,-12.5821
6549.1823,4.0500,-12.6851,4.0500,-12.6851
6560.8982,4.0278,-12.7831,4.0278,-12.7831
6572.6141,4.0059,-12.8787,4.0059,-12.8787
6584.3300,3.9838,-12.9720,3.9838,-12.9720
6596.0459,3.9615,-13.0608,3.9615,-13.0608
6607.7618,3.9389,-13.1471,3.9389,-13.1471
6619.4777,3.9162,-13.2287,3.9162,-13.2287
6631.1936,3.8935,-13.3100,3.8935,-13.3100
6642.9094,3.8705,-13.3848,3.8705,-13.3848
6654.6253,3.8473,-13.4565,3.8473,-13.4565
6666.3412,3.8242,-13.5281,3.8242,-13.5281
6678.0571,3.8011,-13.5939,3.8011,-13.5939
6689.7730,3.7776,-13.6566,3.7776,-13.6566
6701.4889,3.7541,-13.7181,3.7541,-13.7181
6713.2048,3.7305,-13.7750,3.7305,-13.7750
6724.9207,3.7070,-13.8314,3.7070,-13.8314
6736.6366,3.6832,-13.8823,3.6832,-13.8823
6748.3525,3.6593,-13.9311,3.6593,-13.9311
6760.0683,3.6357,-13.9770,3.6357,-13.9770
6771.7842,3.6118,-14.0189,3.6118,-14.0189
6783.5001,3.5878,-14.0605,3.5878,-14.0605
6795.2160,3.5640,-14.0974,3.5640,-14.0974
6806.9319,3.5399,-14.1325,3.5399,-14.1325
6818.6478,3.5159,-14.1636,3.5159,-14.1636
6830.3637,3.4919,-14.1928,3.4919,-14.1928
6842.0796,3.4677,-14.2203,3.4677,-14.2203
6853.7955,3.4438,-14.2444,3.4438,-14.2444
6865.5113,3.4194,-14.2656,3.4194,-14.2656
6877.2272,3.3956,-14.2833,3.3956,-14.2833
6888.9431,3.3712,-14.2984,3.3712,-14.2984
6900.6590,3.3475,-14.3111,3.3475,-14.3111
6912.3749,3.3231,-14.3225,3.3231,-14.3225
6924.0908,3.2991,-14.3297,3.2991,-14.3297
6935.8067,3.2750,-14.3352,3.2750,-14.3352
6947.5226,3.2508,-14.3382,3.2508,-14.3382
6959.2385,3.2269,-14.3374,3.2269,-14.3374
6970.9544,3.2027,-14.3343,3.2027,-14.3343
6982.6702,3.1787,-14.3298,3.1787,-14.3298
6994.3861,3.1550,-14.3224,3.1550,-14.3224
7006.1020,3.1311,-14.3117,3.1311,-14.3117
7017.8179,3.1071,-14.3001,3.1071,-14.3001
7029.5338,3.0834,-14.2837,3.0834,-14.2837
7041.2497,3.0596,-14.2660,3.0596,-14.2660
7052.9656,3.0357,-14.2456,3.0357,-14.2456
7064.6815,3.0123,-14.2225,3.0123,-14.2225
7076.3974,2.9889,-14.1972,2.9889,-14.1972
7088.1133,2.9654,-14.1715,2.9654,-14.1715
7099.8291,2.9418,-14.1408,2.9418,-14.1408
7111.5450,2.9187,-14.1092,2.9187,-14.1092
7123.2609,2.8954,-14.0740,2.8954,-14.0740
7134.9768,2.8721,-14.0373,2.8721,-14.0373
7146.6927,2.8489,-13.9971,2.8489,-13.9971
7158.4086,2.8261,-13.9544,2.8261,-13.9544
7170.1245,2.8031,-13.9097,2.8031,-13.9097
7181.8404,2.7803,-13.8640,2.7803,-13.8640
7193.5563,2.7577,-13.8143,2.7577,-13.8143
7205.2722,2.7350,-13.7617,2.7350,-13.7617
7216.9880,2.7123,-13.7086,2.7123,-13.7086
7228.7039,2.6900,-13.6515,2.6900,-13.6515
7240.4198,2.6679,-13.5921,2.6679,-13.5921
7252.1357,2.6455,-13.5307,2.6455,-13.5307
7263.8516,2.6233,-13.4679,2.6233,-13.4679
7275.5675,2.6012,-13.4006,2.6012,-13.4006
7287.2834,2.5797,-13.3324,2.5797,-13.3324
7298.9993,2.5580,-13.2612,2.5580,-13.2612
7310.7152,2.5362,-13.1865,2.5362,-13.1865
7322.4310,2.5148,-13.1105,2.5148,-13.1105
7334.1469,2.4934,-13.0311,2.4934,-13.0311
7345.8628,2.4723,-12.9510,2.4723,-12.9510
7357.5787,2.4511,-12.8654,2.4511,-12.8654
7369.2946,2.4301,-12.7797,2.4301,-12.7797
7381.0105,2.4091,-12.6902,2.4091,-12.6902
7392.7264,2.3885,-12.5985,2.3885,-12.5985
7404.4423,2.3679,-12.5032,2.3679,-12.5032
7416.1582,2.3475,-12.4057,2.3475,-12.4057
7427.8741,2.3273,-12.3057,2.3273,-12.3057
7439.5899,2.3070,-12.2017,2.3070,-12.2017
7451.3058,2.2872,-12.0945,2.2872,-12.0945
7463.0217,2.2673,-11.9851,2.2673,-11.9851
7474.7376,2.2480,-11.8709,2.2480,-11.8709
7486.4535,2.2286,-11.7561,2.2286,-11.7561
7498.1694,2.2094,-11.6362,2.2094,-11.6362
7509.8853,2.1904,-11.5140,2.1904,-11.5140
7521.6012,2.1717,-11.3869,2.1717,-11.3869
7533.3171,2.1532,-11.2590,2.1532,-11.2590
7545.0330,2.1350,-11.1243,2.1350,-11.1243
7556.7488,2.1170,-10.9879,2.1170,-10.9879
7568.4647,2.0992,-10.8470,2.0992,-10.8470
7580.1806,2.0820,-10.7024,2.0820,-10.7024
7591.8965,2.0647,-10.5547,2.0647,-10.5547
7603.6124,2.0480,-10.4016,2.0480,-10.4016
7615.3283,2.0317,-10.2461,2.0317,-10.2461
7627.0442,2.0159,-10.0853,2.0159,-10.0853
7638.7601,2.0001,-9.9199,2.0001,-9.9199
7650.4760,1.9849,-9.7505,1.9849,-9.7505
7662.1918,1.9702,-9.5758,1.9702,-9.5758
7673.9077,1.9562,-9.3984,1.9562,-9.3984
7685.6236,1.9423,-9.2152,1.9423,-9.2152
7697.3395,1.9296,-9.0267,1.9296,-9.0267
7709.0554,1.9171,-8.8347,1.9171,-8.8347
7720.7713,1.9052,-8.6380,1.9052,-8.6380
7732.4872,1.8941,-8.4349,1.8941,-8.4349
7744.2031,1.8838,-8.2269,1.8838,-8.2269
7755.9190,1.8742,-8.0152,1.8742,-8.0152
7767.6349,1.8654,-7.7993,1.8654,-7.7993
7779.3507,1.8574,-7.5769,1.8574,-7.5769
7791.0666,1.8505,-7.3495,1.8505,-7.3495
7802.7825,1.8446,-7.1178,1.8446,-7.1178
7814.4984,1.8398,-6.8818,1.8398,-6.8818
7826.2143,1.8359,-6.6399,1.8359,-6.6399
7837.9302,1.8333,-6.3947,1.8333,-6.3947
7849.6461,1.8319,-6.1420,1.8319,-6.1420
7861.3620,1.8319,-5.8863,1.8319,-5.8863
7873.0779,1.8334,-5.6253,1.8334,-5.6253
7884.7938,1.8361,-5.3601,1.8361,-5.3601
7896.5096,1.8407,-5.0909,1.8407,-5.0909
7908.2255,1.8466,-4.8185,1.8466,-4.8185
7919.9414,1.8544,-4.5423,1.8544,-4.5423
7931.6573,1.8641,-4.2622,1.8641,-4.2622
7943.3732,1.8757,-3.9804,1.8757,-3.9804
7955.0891,1.8894,-3.6949,1.8894,-3.6949
7966.8050,1.9047,-3.4073,1.9047,-3.4073
7978.5209,1.9229,-3.1185,1.9229,-3.1185
7990.2368,1.9430,-2.8269,1.9430,-2.8269
8001.9526,1.9655,-2.5361,1.9655,-2.5361
8013.6685,1.9908,-2.2469,1.9908,-2.2469
8025.3844,2.0187,-1.9586,2.0187,-1.9586
8037.1003,2.0492,-1.6737,2.0492,-1.6737
8048.8162,2.0828,-1.3904,2.0828,-1.3904
8060.5321,2.1193,-1.1129,2.1193,-1.1129
8072.2480,2.1588,-0.8418,2.1588,-0.8418
8083.9639,2.2014,-0.5770,2.2014,-0.5770
8095.6798,2.2471,-0.3236,2.2471,-0.3236
8107.3957,2.2961,-0.0807,2.2961,-0.0807
8119.1115,2.3483,0.1512,2.3483,0.1512
8130.8274,2.4037,0.3670,2.4037,0.3670
8142.5433,2.4622,0.5655,2.4622,0.5655
8154.2592,2.5240,0.7440,2.5240,0.7440
8165.9751,2.5885,0.9025,2.5885,0.9025
8177.6910,2.6562,1.0349,2.6562,1.0349
8189.4069,2.7263,1.1415,2.7263,1.1415
8201.1228,2.7988,1.2211,2.7988,1.2211
8212.8387,2.8730,1.2681,2.8730,1.2681
8224.5546,2.9494,1.2851,2.9494,1.2851
8236.2704,3.0267,1.2659,3.0267,1.2659
8247.9863,3.1048,1.2126,3.1048,1.2126
8259.7022,3.1834,1.1240,3.1834,1.1240
8271.4181,3.2618,0.9972,3.2618,0.9972
8283.1340,3.3396,0.8334,3.3396,0.8334
8294.8499,3.4159,0.6342,3.4159,0.6342
8306.5658,3.4907,0.3974,3.4907,0.3974
8318.2817,3.5635,0.1265,3.5635,0.1265
8329.9976,3.6336,-0.1758,3.6336,-0.1758
8341.7134,3.7004,-0.5121,3.7004,-0.5121
8353.4293,3.7639,-0.8751,3.7639,-0.8751
8365.1452,3.8240,-1.2640,3.8240,-1.2640
8376.8611,3.8800,-1.6785,3.8800,-1.6785
8388.5770,3.9319,-2.1137,3.9319,-2.1137
8400.2929,3.9794,-2.5687,3.9794,-2.5687
8412.0088,4.0232,-3.0379,4.0232,-3.0379
8423.7247,4.0621,-3.5211,4.0621,-3.5211
8435.4406,4.0971,-4.0165,4.0971,-4.0165
8447.1565,4.1277,-4.5218,4.1277,-4.5218
8458.8723,4.1542,-5.0351,4.1542,-5.0351
8470.5882,4.1769,-5.5533,4.1769,-5.5533
8482.3041,4.1953,-6.0797,4.1953,-6.0797
8494.0200,4.2101,-6.6075,4.2101,-6.6075
8505.7359,4.2209,-7.1408,4.2209,-7.1408
8517.4518,4.2283,-7.6762,4.2283,-7.6762
8529.1677,4.2320,-8.2138,4.2320,-8.2138
8540.8836,4.2324,-8.7536,4.2324,-8.7536
8552.5995,4.2289,-9.2971,4.2289,-9.2971
8564.3154,4.2219,-9.8397,4.2219,-9.8397
8576.0312,4.2116,-10.3863,4.2116,-10.3863
8587.7471,4.1973,-10.9349,4.1973,-10.9349
8599.4630,4.1793,-11.4836,4.1793,-11.4836
8611.1789,4.1574,-12.0351,4.1574,-12.0351
8622.8948,4.1313,-12.5862,4.1313,-12.5862
8634.6107,4.1009,-13.1381,4.1009,-13.1381
8646.3266,4.0660,-13.6905,4.0660,-13.6905
8658.0425,4.0260,-14.2386,4.0260,-14.2386
8669.7584,3.9811,-14.7844,3.9811,-14.7844
8681.4742,3.9309,-15.3240,3.9309,-15.3240
8693.1901,3.8746,-15.8544,3.8746,-15.8544
8704.9060,3.8124,-16.3759,3.8124,-16.3759
8716.6219,3.7441,-16.8792,3.7441,-16.8792
8728.3378,3.6693,-17.3636,3.6693,-17.3636
8740.0537,3.5878,-17.8236,3.5878,-17.8236
8751.7696,3.4996,-18.2535,3.4996,-18.2535
8763.4855,3.4049,-18.6449,3.4049,-18.6449
8775.2014,3.3039,-18.9934,3.3039,-18.9934
8786.9173,3.1970,-19.2898,3.1970,-19.2898
8798.6331,3.0850,-19.5293,3.0850,-19.5293
8810.3490,2.9687,-19.7007,2.9687,-19.7007
8822.0649,2.8496,-19.8013,2.8496,-19.8013
8833.7808,2.7287,-19.8246,2.7287,-19.8246
8845.4967,2.6079,-19.7674,2.6079,-19.7674
8857.2126,2.4893,-19.6257,2.4893,-19.6257
8868.9285,2.3747,-19.4026,2.3747,-19.4026
8880.6444,2.2660,-19.1043,2.2660,-19.1043
8892.3603,2.1652,-18.7324,2.1652,-18.7324
8904.0762,2.0741,-18.2995,2.0741,-18.2995
8915.7920,1.9940,-17.8170,1.9940,-17.8170
8927.5079,1.9257,-17.2984,1.9257,-17.2984
8939.2238,1.8694,-16.7570,1.8694,-16.7570
8950.9397,1.8259,-16.2087,1.8259,-16.2087
8962.6556,1.7939,-15.6634,1.7939,-15.6634
8974.3715,1.7730,-15.1371,1.7730,-15.1371
8986.0874,1.7618,-14.6350,1.7618,-14.6350
8997.8033,1.7593,-14.1686,1.7593,-14.1686
9009.5192,1.7638,-13.7394,1.7638,-13.7394
9021.2351,1.7742,-13.3536,1.7742,-13.3536
9032.9509,1.7893,-13.0101,1.7893,-13.0101
9044.6668,1.8075,-12.7102,1.8075,-12.7102
9056.3827,1.8279,-12.4506,1.8279,-12.4506
9068.0986,1.8498,-12.2320,1.8498,-12.2320
9079.8145,1.8722,-12.0499,1.8722,-12.0499
9091.5304,1.8948,-11.9028,1.8948,-11.9028
9103.2463,1.9170,-11.7838,1.9170,-11.7838
9114.9622,1.9383,-11.6947,1.9383,-11.6947
9126.6781,1.9586,-11.6288,1.9586,-11.6288
9138.3939,1.9774,-11.5859,1.9774,-11.5859
9150.1098,1.9953,-11.5629,1.9953,-11.5629
9161.8257,2.0111,-11.5560,2.0111,-11.5560
9173.5416,2.0259,-11.5658,2.0259,-11.5658
9185.2575,2.0389,-11.5889,2.0389,-11.5889
9196.9734,2.0505,-11.6227,2.0505,-11.6227
9208.6893,2.0604,-11.6685,2.0604,-11.6685
9220.4052,2.0690,-11.7239,2.0690,-11.7239
9232.1211,2.0760,-11.7862,2.0760,-11.7862
9243.8370,2.0816,-11.8569,2.0816,-11.8569
9255.5528,2.0858,-11.9335,2.0858,-11.9335
9267.2687,2.0888,-12.0156,2.0888,-12.0156
9278.9846,2.0903,-12.1055,2.0903,-12.1055
9290.7005,2.0905,-12.1966,2.0905,-12.1966
9302.4164,2.0894,-12.2939,2.0894,-12.2939
9314.1323,2.0871,-12.3932,2.0871,-12.3932
9325.8482,2.0841,-12.4972,2.0841,-12.4972
9337.5641,2.0794,-12.6023,2.0794,-12.6023
9349.2800,2.0738,-12.7118,2.0738,-12.7118
9360.9959,2.0668,-12.8228,2.0668,-12.8228
9372.7117,2.0588,-12.9351,2.0588,-12.9351
9384.4276,2.0497,-13.0507,2.0497,-13.0507
9396.1435,2.0396,-13.1665,2.0396,-13.1665
9407.8594,2.0286,-13.2834,2.0286,-13.2834
9419.5753,2.0165,-13.4009,2.0165,-13.4009
9431.2912,2.0034,-13.5202,2.0034,-13.5202
9443.0071,1.9891,-13.6401,1.9891,-13.6401
9454.7230,1.9742,-13.7605,1.9742,-13.7605
9466.4389,1.9579,-13.8795,1.9579,-13.8795
9478.1547,1.9407,-13.9996,1.9407,-13.9996
9489.8706,1.9226,-14.1207,1.9226,-14.1207
9501.5865,1.9036,-14.2406,1.9036,-14.2406
9513.3024,1.8835,-14.3590,1.8835,-14.3590
9525.0183,1.8626,-14.4779,1.8626,-14.4779
9536.7342,1.8405,-14.5974,1.8405,-14.5974
9548.4501,1.8174,-14.7124,1.8174,-14.7124
9560.1660,1.7938,-14.8276,1.7938,-14.8276
9571.8819,1.7691,-14.9425,1.7691,-14.9425
9583.5978,1.7434,-15.0571,1.7434,-15.0571
9595.3136,1.7166,-15.1670,1.7166,-15.1670
9607.0295,1.6890,-15.2772,1.6890,-15.2772
9618.7454,1.6603,-15.3853,1.6603,-15.3853
9630.4613,1.6310,-15.4899,1.6310,-15.4899
9642.1772,1.6004,-15.5932,1.6004,-15.5932
9653.8931,1.5693,-15.6940,1.5693,-15.6940
9665.6090,1.5370,-15.7911,1.5370,-15.7911
9677.3249,1.5037,-15.8863,1.5037,-15.8863
9689.0408,1.4696,-15.9786,1.4696,-15.9786
9700.7567,1.4348,-16.0660,1.4348,-16.0660
9712.4725,1.3990,-16.1510,1.3990,-16.1510
9724.1884,1.3620,-16.2331,1.3620,-16.2331
9735.9043,1.3246,-16.3102,1.3246,-16.3102
9747.6202,1.2863,-16.3835,1.2863,-16.3835
9759.3361,1.2470,-16.4530,1.2470,-16.4530
9771.0520,1.2067,-16.5176,1.2067,-16.5176
9782.7679,1.1654,-16.5769,1.1654,-16.5769
9794.4838,1.1238,-16.6308,1.1238,-16.6308
9806.1997,1.0811,-16.6810,1.0811,-16.6810
9817.9155,1.0382,-16.7260,1.0382,-16.7260
9829.6314,0.9939,-16.7644,0.9939,-16.7644
9841.3473,0.9490,-16.7966,0.9490,-16.7966
9853.0632,0.9034,-16.8254,0.9034,-16.8254
9864.7791,0.8570,-16.8454,0.8570,-16.8454
9876.4950,0.8100,-16.8611,0.8100,-16.8611
9888.2109,0.7625,-16.8684,0.7625,-16.8684
9899.9268,0.7141,-16.8703,0.7141,-16.8703
9911.6427,0.6652,-16.8665,0.6652,-16.8665
9923.3586,0.6161,-16.8542,0.6161,-16.8542
9935.0744,0.5661,-16.8342,0.5661,-16.8342
9946.7903,0.5157,-16.8088,0.5157,-16.8088
9958.5062,0.4651,-16.7767,0.4651,-16.7767
9970.2221,0.4139,-16.7360,0.4139,-16.7360
9981.9380,0.3621,-16.6880,0.3621,-16.6880
9993.6539,0.3102,-16.6319,0.3102,-16.6319
10005.3698,0.2581,-16.5703,0.2581,-16.5703
10017.0857,0.2051,-16.5005,0.2051,-16.5005
10028.8016,0.1526,-16.4222,0.1526,-16.4222
10040.5175,0.0994,-16.3377,0.0994,-16.3377
10052.2333,0.0460,-16.2422,0.0460,-16.2422
10063.9492,-0.0073,-16.1429,-0.0073,-16.1429
10075.6651,-0.0607,-16.0339,-0.0607,-16.0339
10087.3810,-0.1143,-15.9196,-0.1143,-15.9196
10099.0969,-0.1682,-15.7997,-0.1682,-15.7997
10110.8128,-0.2219,-15.6700,-0.2219,-15.6700
10122.5287,-0.2757,-15.5334,-0.2757,-15.5334
10134.2446,-0.3297,-15.3910,-0.3297,-15.3910
10145.9605,-0.3836,-15.2443,-0.3836,-15.2443
10157.6763,-0.4376,-15.0877,-0.4376,-15.0877
10169.3922,-0.4920,-14.9278,-0.4920,-14.9278
10181.1081,-0.5456,-14.7608,-0.5456,-14.7608
10192.8240,-0.6003,-14.5879,-0.6003,-14.5879
10204.5399,-0.6546,-14.4110,-0.6546,-14.4110
10216.2558,-0.7092,-14.2281,-0.7092,-14.2281
10227.9717,-0.7644,-14.0378,-0.7644,-14.0378
10239.6876,-0.8197,-13.8441,-0.8197,-13.8441
10251.4035,-0.8752,-13.6442,-0.8752,-13.6442
10263.1194,-0.9314,-13.4392,-0.9314,-13.4392
10274.8352,-0.9885,-13.2301,-0.9885,-13.2301
10286.5511,-1.0461,-13.0117,-1.0461,-13.0117
10298.2670,-1.1044,-12.7880,-1.1044,-12.7880
10309.9829,-1.1640,-12.5589,-1.1640,-12.5589
10321.6988,-1.2245,-12.3205,-1.2245,-12.3205
10333.4147,-1.2865,-12.0737,-1.2865,-12.0737
10345.1306,-1.3498,-11.8165,-1.3498,-11.8165
10356.8465,-1.4146,-11.5479,-1.4146,-11.5479
10368.5624,-1.4813,-11.2661,-1.4813,-11.2661
10380.2783,-1.5495,-10.9686,-1.5495,-10.9686
10391.9941,-1.6196,-10.6544,-1.6196,-10.6544
10403.7100,-1.6915,-10.3207,-1.6915,-10.3207
10415.4259,-1.7657,-9.9601,-1.7657,-9.9601
10427.1418,-1.8411,-9.5738,-1.8411,-9.5738
10438.8577,-1.9184,-9.1609,-1.9184,-9.1609
10450.5736,-1.9972,-8.7098,-1.9972,-8.7098
10462.2895,-2.0769,-8.2244,-2.0769,-8.2244
10474.0054,-2.1574,-7.6941,-2.1574,-7.6941
10485.7213,-2.2376,-7.1178,-2.2376,-7.1178
10497.4371,-2.3173,-6.4919,-2.3173,-6.4919
10509.1530,-2.3954,-5.8164,-2.3954,-5.8164
10520.8689,-2.4704,-5.0830,-2.4704,-5.0830
10532.5848,-2.5419,-4.2954,-2.5419,-4.2954
10544.3007,-2.6082,-3.4517,-2.6082,-3.4517
10556.0166,-2.6678,-2.5529,-2.6678,-2.5529
10567.7325,-2.7200,-1.6074,-2.7200,-1.6074
10579.4484,-2.7624,-0.6120,-2.7624,-0.6120
10591.1643,-2.7948,0.4207,-2.7948,0.4207
10602.8802,-2.8158,1.4835,-2.8158,1.4835
10614.5960,-2.8247,2.5646,-2.8247,2.5646
10626.3119,-2.8210,3.6578,-2.8210,3.6578
10638.0278,-2.8044,4.7435,-2.8044,4.7435
10649.7437,-2.7754,5.8182,-2.7754,5.8182
10661.4596,-2.7345,6.8669,-2.7345,6.8669
10673.1755,-2.6820,7.8808,-2.6820,7.8808
10684.8914,-2.6196,8.8530,-2.6196,8.8530
10696.6073,-2.5478,9.7718,-2.5478,9.7718
10708.3232,-2.4687,10.6357,-2.4687,10.6357
10720.0391,-2.3828,11.4437,-2.3828,11.4437
10731.7549,-2.2917,12.1894,-2.2917,12.1894
10743.4708,-2.1969,12.8752,-2.1969,12.8752
10755.1867,-2.0993,13.5026,-2.0993,13.5026
10766.9026,-2.0001,14.0679,-2.0001,14.0679
10778.6185,-1.9001,14.5809,-1.9001,14.5809
10790.3344,-1.8003,15.0390,-1.8003,15.0390
10802.0503,-1.7011,15.4494,-1.7011,15.4494
10813.7662,-1.6032,15.8149,-1.6032,15.8149
10825.4821,-1.5068,16.1346,-1.5068,16.1346
10837.1979,-1.4126,16.4197,-1.4126,16.4197
10848.9138,-1.3208,16.6673,-1.3208,16.6673
10860.6297,-1.2313,16.8836,-1.2313,16.8836
10872.3456,-1.1446,17.0744,-1.1446,17.0744
10884.0615,-1.0605,17.2350,-1.0605,17.2350
10895.7774,-0.9789,17.3759,-0.9789,17.3759
10907.4933,-0.9006,17.4938,-0.9006,17.4938
10919.2092,-0.8245,17.5957,-0.8245,17.5957
10930.9251,-0.7514,17.6791,-0.7514,17.6791
10942.6410,-0.6810,17.7492,-0.6810,17.7492
10954.3568,-0.6128,17.8061,-0.6128,17.8061
10966.0727,-0.5471,17.8536,-0.5471,17.8536
10977.7886,-0.4841,17.8859,-0.4841,17.8859
10989.5045,-0.4236,17.9139,-0.4236,17.9139
11001.2204,-0.3647,17.9306,-0.3647,17.9306
11012.9363,-0.3085,17.9438,-0.3085,17.9438
11024.6522,-0.2541,17.9501,-0.2541,17.9501
11036.3681,-0.2013,17.9501,-0.2013,17.9501
11048.0840,-0.1512,17.9462,-0.1512,17.9462
11059.7999,-0.1024,17.9378,-0.1024,17.9378
11071.5157,-0.0550,17.9287,-0.0550,17.9287
11083.2316,-0.0098,17.9126,-0.0098,17.9126
11094.9475,0.0340,17.8966,0.0340,17.8966
11106.6634,0.0762,17.8780,0.0762,17.8780
11118.3793,0.1171,17.8565,0.1171,17.8565
11130.0952,0.1566,17.8344,0.1566,17.8344
11141.8111,0.1947,17.8129,0.1947,17.8129
11153.5270,0.2318,17.7882,0.2318,17.7882
11165.2429,0.2672,17.7626,0.2672,17.7626
11176.9588,0.3021,17.7380,0.3021,17.7380
11188.6746,0.3357,17.7109,0.3357,17.7109
11200.3905,0.3682,17.6859,0.3682,17.6859
11212.1064,0.3997,17.6594,0.3997,17.6594
11223.8223,0.4303,17.6350,0.4303,17.6350
11235.5382,0.4594,17.6096,0.4594,17.6096
11247.2541,0.4884,17.5843,0.4884,17.5843
11258.9700,0.5164,17.5604,0.5164,17.5604
11270.6859,0.5434,17.5366,0.5434,17.5366
11282.4018,0.5698,17.5125,0.5698,17.5125
11294.1176,0.5955,17.4888,0.5955,17.4888
11305.8335,0.6204,17.4672,0.6204,17.4672
11317.5494,0.6447,17.4455,0.6447,17.4455
11329.2653,0.6683,17.4233,0.6683,17.4233
11340.9812,0.6913,17.4050,0.6913,17.4050
11352.6971,0.7139,17.3859,0.7139,17.3859
11364.4130,0.7358,17.3681,0.7358,17.3681
11376.1289,0.7571,17.3514,0.7571,17.3514
11387.8448,0.7780,17.3349,0.7780,17.3349
11399.5607,0.7983,17.3207,0.7983,17.3207
11411.2765,0.8182,17.3053,0.8182,17.3053
11422.9924,0.8378,17.2925,0.8378,17.2925
11434.7083,0.8565,17.2794,0.8565,17.2794
11446.4242,0.8753,17.2694,0.8753,17.2694
11458.1401,0.8936,17.2580,0.8936,17.2580
11469.8560,0.9118,17.2482,0.9118,17.2482
11481.5719,0.9291,17.2409,0.9291,17.2409
11493.2878,0.9461,17.2341,0.9461,17.2341
11505.0037,0.9632,17.2283,0.9632,17.2283
11516.7196,0.9797,17.2227,0.9797,17.2227
11528.4354,0.9959,17.2177,0.9959,17.2177
11540.1513,1.0119,17.2139,1.0119,17.2139
11551.8672,1.0276,17.2118,1.0276,17.2118
11563.5831,1.0431,17.2112,1.0431,17.2112
11575.2990,1.0584,17.2104,1.0584,17.2104
11587.0149,1.0735,17.2111,1.0735,17.2111
11598.7308,1.0882,17.2114,1.0882,17.2114
11610.4467,1.1027,17.2135,1.1027,17.2135
11622.1626,1.1173,17.2172,1.1173,17.2172
11633.8784,1.1314,17.2204,1.1314,17.2204
11645.5943,1.1452,17.2254,1.1452,17.2254
11657.3102,1.1589,17.2294,1.1589,17.2294
11669.0261,1.1729,17.2357,1.1729,17.2357
11680.7420,1.1861,17.2424,1.1861,17.2424
11692.4579,1.1998,17.2491,1.1998,17.2491
11704.1738,1.2127,17.2579,1.2127,17.2579
11715.8897,1.2256,17.2682,1.2256,17.2682
11727.6056,1.2387,17.2755,1.2387,17.2755
11739.3215,1.2517,17.2880,1.2517,17.2880
11751.0373,1.2643,17.2978,1.2643,17.2978
11762.7532,1.2768,17.3105,1.2768,17.3105
11774.4691,1.2891,17.3224,1.2891,17.3224
11786.1850,1.3017,17.3331,1.3017,17.3331
11797.9009,1.3139,17.3471,1.3139,17.3471
11809.6168,1.3260,17.3606,1.3260,17.3606
11821.3327,1.3382,17.3764,1.3382,17.3764
11833.0486,1.3500,17.3899,1.3500,17.3899
11844.7645,1.3619,17.4045,1.3619,17.4045
11856.4804,1.3737,17.4210,1.3737,17.4210
11868.1962,1.3855,17.4361,1.3855,17.4361
11879.9121,1.3971,17.4521,1.3971,17.4521
11891.6280,1.4089,17.4703,1.4089,17.4703
